Class_Name,Area,Perimeter,Mean,Std_Dev,Max_Value,Min_Value,Contrast,Dissimilarity,Homogeneity,Energy
A00001.pgm,11.0,14.828427076339722,193.8,108.90619817071939,255,0,9924.868421052632,38.921052631578945,0.8473707682918735,0.7021731206851644
A00002.pgm,4.0,7.656854152679443,194.96031746031747,108.19129155414122,255,0,11657.142857142857,45.714285714285715,0.8207310482400446,0.691786020202298
A00003.pgm,10.0,14.828427076339722,192.66666666666666,109.58811776627772,255,0,11475.0,45.0,0.823532125611294,0.6862969184016583
A00004.pgm,11.5,16.242640614509583,192.66666666666666,109.58811776627772,255,0,11475.0,45.0,0.823532125611294,0.6862969184016583
A00005.pgm,12.5,16.242640614509583,191.95833333333334,110.0062419314872,255,0,11475.0,45.0,0.823532125611294,0.6842392790562818
A00006.pgm,12.5,16.242640614509583,190.9126984126984,110.61229443429947,255,0,11292.857142857143,44.285714285714285,0.8263332029825433,0.6825716143103876
A00007.pgm,134.0,94.42640614509583,191.92105263157896,110.02807813389879,255,0,11560.0,45.333333333333336,0.8222249561713777,0.6840781848319408
A00008.pgm,11.5,14.242640614509583,187.5,112.5,255,0,11785.78125,46.21875,0.8187527873465998,0.6688084086642452
A00009.pgm,11.0,14.828427076339722,189.125,111.61814088668562,255,0,11475.0,45.0,0.823532125611294,0.6762019927123084
A00010.pgm,13.5,16.242640614509583,193.00751879699249,109.38471091090234,255,0,10665.476190476189,41.82539682539682,0.835981358372402,0.6937978849528362
A00011.pgm,2.0,5.656854152679443,191.42857142857142,110.31494801295989,255,0,11998.660714285716,47.05357142857143,0.8154790281689522,0.6782972503732753
A00012.pgm,10.0,12.828427076339722,194.79166666666666,108.29626769756298,255,0,11092.5,43.5,0.8294143880909175,0.6953503510653055
A00013.pgm,10.0,12.828427076339722,186.40350877192984,113.07796714813715,255,0,10871.052631578948,42.631578947368425,0.8328199084738576,0.6733230114387455
A00014.pgm,11.0,14.828427076339722,189.125,111.61814088668562,255,0,11092.5,43.5,0.8294143880909175,0.679036056036735
A00015.pgm,13.5,16.242640614509583,188.41666666666666,112.00629322597112,255,0,11475.0,45.0,0.823532125611294,0.6742418528425593
A00016.pgm,121.0,86.42640614509583,197.65873015873015,106.46127268877866,255,0,11657.142857142857,45.714285714285715,0.8207310482400447,0.7000391742378413
A00017.pgm,12.0,16.82842707633972,190.54166666666666,110.82417725338136,255,0,11475.0,45.0,0.823532125611294,0.6801816366409266
A00018.pgm,11.0,14.828427076339722,190.54166666666666,110.82417725338135,255,0,11475.0,45.0,0.823532125611294,0.6801816366409266
A00019.pgm,11.0,14.828427076339722,192.26190476190476,109.82780017650347,255,0,11292.857142857143,44.285714285714285,0.8263332029825432,0.6864459855513535
A00020.pgm,9.0,12.828427076339722,191.95833333333334,110.0062419314872,255,0,11092.5,43.5,0.8294143880909175,0.6870401891107152
A00021.pgm,10.5,14.242640614509583,189.75,111.27078457528732,255,0,11785.78125,46.21875,0.8187527873465997,0.6750434013824592
A00022.pgm,12.5,16.242640614509583,194.08333333333334,108.733204322425,255,0,11475.0,45.0,0.823532125611294,0.6904689745703935
A00023.pgm,11.0,14.828427076339722,190.23809523809524,110.99631257792169,255,0,11292.857142857143,44.285714285714285,0.8263332029825433,0.6806607415653112
A00024.pgm,14.5,18.242640614509583,191.72932330827066,110.14011089227047,255,0,11009.52380952381,43.17460317460317,0.8306904344489311,0.6875559076702633
A00025.pgm,134.5,89.84061968326569,189.9078947368421,111.18230378308967,255,0,10476.25,41.083333333333336,0.838891366530311,0.6864090671075138
